"Results.reception.time","MD5.hash.of.participant.s.IP.address","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","Value","EventTime","item","Comments"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","PennController","2","_Trial_","Start",1743629417343,"item2","NULL"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","DragDrop","pt-1","Drag","sprite",1743629418701,"item2","Dropped on (3%2C 0%2C 0%2C 0)"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","DragDrop","pt-1","Drop","(3%2C 0%2C 0%2C 0)",1743629419633,"item2","Dopped sprite"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","DragDrop","pt-1","Drag","pepsi",1743629421361,"item2","Dropped on (5%2C 0%2C 1%2C 1)"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","DragDrop","pt-1","Drop","(5%2C 0%2C 1%2C 1)",1743629422244,"item2","Dopped pepsi"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","DragDrop","pt-1","Drag","dr. pepper",1743629423300,"item2","Dropped on (1%2C 0%2C 1%2C 0)"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","DragDrop","pt-1","Drop","(1%2C 0%2C 1%2C 0)",1743629423973,"item2","Dopped dr. pepper"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","DragDrop","pt-1","Drag","fanta",1743629424961,"item2","Not dropped"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","DragDrop","pt-1","Drag","fanta",1743629428928,"item2","Dropped on (3%2C 0%2C 1%2C 1)"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","DragDrop","pt-1","Drop","(3%2C 0%2C 1%2C 1)",1743629429826,"item2","Dopped fanta"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","DragDrop","pt-1","Drag","fanta",1743629430890,"item2","Dropped on (2%2C 0%2C 1%2C 0)"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","DragDrop","pt-1","Drop","(2%2C 0%2C 1%2C 0)",1743629431459,"item2","Dopped fanta"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","DragDrop","pt-1","Final","sprite:(3%2C 0%2C 0%2C 0);pepsi:(5%2C 0%2C 1%2C 1);fanta:(2%2C 0%2C 1%2C 0);dr. pepper:(1%2C 0%2C 1%2C 0)",1743629433030,"item2","NULL"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",2,0,"demo","NULL","PennController","2","_Trial_","End",1743629433031,"item2","NULL"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",1,0,"demo","NULL","PennController","1","_Trial_","Start",1743629433033,"item1","NULL"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",1,0,"demo","NULL","DragDrop","pt-1","Drag","cat",1743629434034,"item1","Dropped on (5%2C 0%2C 0%2C 0)"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",1,0,"demo","NULL","DragDrop","pt-1","Drop","(5%2C 0%2C 0%2C 0)",1743629434798,"item1","Dopped cat"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",1,0,"demo","NULL","DragDrop","pt-1","Drag","snake",1743629435653,"item1","Dropped on (3%2C 0%2C 0%2C 1)"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",1,0,"demo","NULL","DragDrop","pt-1","Drop","(3%2C 0%2C 0%2C 1)",1743629436289,"item1","Dopped snake"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",1,0,"demo","NULL","DragDrop","pt-1","Drag","dog",1743629437399,"item1","Dropped on (2%2C 0%2C 1%2C 1)"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",1,0,"demo","NULL","DragDrop","pt-1","Drop","(2%2C 0%2C 1%2C 1)",1743629437939,"item1","Dopped dog"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",1,0,"demo","NULL","DragDrop","pt-1","Drag","hamster",1743629438849,"item1","Not dropped"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",1,0,"demo","NULL","DragDrop","pt-1","Drag","hamster",1743629440177,"item1","Dropped on (1%2C 0%2C 0%2C 1)"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",1,0,"demo","NULL","DragDrop","pt-1","Drop","(1%2C 0%2C 0%2C 1)",1743629440660,"item1","Dopped hamster"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",1,0,"demo","NULL","DragDrop","pt-1","Final","cat:(5%2C 0%2C 0%2C 0);dog:(2%2C 0%2C 1%2C 1);snake:(3%2C 0%2C 0%2C 1);hamster:(1%2C 0%2C 0%2C 1)",1743629441512,"item1","NULL"
1743629442,"8625c054d78abdfb4dce4fa7872cfd0e","PennController",1,0,"demo","NULL","PennController","1","_Trial_","End",1743629441512,"item1","NULL"
